deviceModel,MODULAIR-PM
deviceID,e00fce681a569f9dea97e5ed
deviceSN,MOD-PM-00895
timestamp_iso,sample_rh,sample_temp,sample_pres,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin1MToF,bin3MToF,bin5MToF,bin7MToF,sample_period,sample_flow,opc_temp,opc_rh,opc_pm1,opc_pm25,opc_pm10,laser_status,pm1_std,pm25_std,pm10_std,pm1_env,pm25_env,pm10_env,neph_bin0,neph_bin1,neph_bin2,neph_bin3,neph_bin4,neph_bin5,flag,fw,connection_status,iteration,measurement_state,operating_state
2024-08-20T00:00:02Z,74.85,25.96,0.0,21.2528,0.7540,0.1178,0.0000,0.0236,0.0236,0.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.0000,10.0000,0.0000,4.999,8.49,32.81,52.10,2.724,3.418,3.917,628,13.0,24.0,31.0,13.0,24.0,31.0,2949.000,753.000,173.000,34.000,2.000,0.000,0,22,0,5,1,0
2024-08-20T00:00:07Z,74.89,25.93,0.0,19.2084,0.8638,0.0682,0.1137,0.0227,0.0455,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3333,8.3333,11.0000,0.0000,4.999,8.80,32.81,52.07,2.609,3.641,4.217,628,14.0,24.0,28.0,14.0,24.0,28.0,2970.000,762.000,173.000,27.000,1.000,0.000,0,22,0,6,1,0
2024-08-20T00:00:12Z,74.87,25.92,0.0,21.2224,1.1076,0.0886,0.0222,0.0443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3333,8.6667,0.0000,0.0000,4.999,9.03,32.79,52.10,2.820,3.120,3.148,628,14.0,23.0,27.0,14.0,23.0,27.0,2910.000,744.000,164.000,27.000,1.000,0.000,0,22,0,7,1,0
2024-08-20T00:00:17Z,74.82,25.96,0.0,20.7576,0.9591,0.0913,0.0228,0.0685,0.0685,0.0228,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6667,11.6667,9.0000,11.0000,4.999,8.76,32.78,52.07,2.794,4.403,6.310,629,14.0,23.0,27.0,14.0,23.0,27.0,2910.000,744.000,164.000,27.000,1.000,0.000,0,22,0,8,1,0
2024-08-20T00:00:22Z,74.84,25.96,0.0,21.0435,0.5313,0.1386,0.0000,0.0231,0.0000,0.0231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.0000,0.0000,0.0000,4.999,8.66,32.78,52.10,2.638,3.120,3.520,628,11.0,19.0,26.0,11.0,19.0,26.0,2397.000,616.000,142.000,29.000,5.000,1.000,0,22,0,9,1,0
2024-08-20T00:00:27Z,74.84,25.93,0.0,20.4948,0.8413,0.0701,0.0000,0.1168,0.0000,0.0701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.0000,0.0000,0.0000,4.999,8.56,32.78,52.10,2.711,4.181,5.422,628,11.0,19.0,26.0,11.0,19.0,26.0,2397.000,616.000,142.000,29.000,5.000,1.000,0,22,0,10,1,0
2024-08-20T00:00:32Z,74.83,25.96,0.0,19.5495,1.0360,0.0676,0.0676,0.0676,0.0450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3333,8.6667,8.6667,0.0000,5.000,8.88,32.81,52.09,2.686,3.537,3.754,629,13.0,22.0,26.0,13.0,22.0,26.0,2814.000,728.000,148.000,21.000,0.000,0.000,0,22,0,11,1,0
2024-08-20T00:00:37Z,74.84,25.95,0.0,19.2738,0.8409,0.1770,0.0664,0.0443,0.0000,0.0000,0.0000,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3333,8.6667,0.0000,0.0000,4.999,9.04,32.76,52.09,2.625,3.230,6.251,628,13.0,22.0,26.0,13.0,22.0,26.0,2814.000,728.000,148.000,21.000,0.000,0.000,0,22,0,12,1,0
2024-08-20T00:00:42Z,74.81,25.95,0.0,19.4412,0.7035,0.0704,0.0000,0.1407,0.0704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,15.3333,0.0000,4.999,8.53,32.76,52.12,2.600,3.863,4.215,628,13.0,22.0,26.0,13.0,22.0,26.0,2814.000,728.000,148.000,21.000,0.000,0.000,0,22,0,1,1,0
2024-08-20T00:00:47Z,74.80,25.93,0.0,22.8512,0.9572,0.0736,0.0982,0.0736,0.0245,0.0245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,6.6667,10.6667,0.0000,4.999,8.15,32.79,52.08,3.068,4.138,4.692,628,13.0,22.0,26.0,13.0,22.0,26.0,2814.000,728.000,148.000,21.000,0.000,0.000,0,22,0,2,1,0
